,sample_size_pergroup,sample_size,pvalue,coefficient,M
233,18,18,0.5493918682512064,-0.042866642926055104,1
234,18,18,0.10090332419163375,-0.2178663608303196,1
235,18,18,0.23125496703164194,-0.08741333770253479,1
236,18,18,0.15533012958931708,-0.1080980569679828,1
237,18,18,0.4191751117566269,-0.06140483570313135,1
238,18,18,0.32076220312963066,-0.10249711585032835,1
239,18,18,0.5653804235492006,-0.04941949233667701,1
240,18,18,0.08607938692340228,-0.16320569342988936,1
241,18,18,0.9077966550802027,-0.009853745011658848,1
242,18,18,0.7684861350332952,-0.026869363081875954,1
243,18,18,0.037133659018504205,-0.1962713567832055,1
244,18,18,0.04302049346268873,-0.17130270387831115,1
245,18,18,0.10767914451371881,-0.11678365176914181,1
246,18,18,0.04581132377316265,-0.20275015123572757,1
247,18,18,0.4805618136055503,-0.0687119287714405,1
248,18,18,0.3884759948929979,-0.09001849804092353,1
249,18,18,0.3988627060231533,-0.08819864021317536,1
250,18,18,0.13958095969263515,-0.18119085518756858,1
251,18,18,0.0022683033331807037,-0.21380584071265787,1
252,18,18,0.13428420055384,-0.12693591698185475,1
253,18,18,0.01945713450141535,-0.22481472969099228,1
254,18,18,0.13208359221934232,-0.1373385934743166,1
255,18,18,0.390647899946472,-0.074074125362466,1
256,18,18,0.1127206022382626,-0.13667200673202684,1
257,18,18,0.9186963719604939,0.010470790960303919,1
258,18,18,0.01147448674948622,-0.1898554333677609,1
259,18,18,0.04873543114560597,-0.19506863429526167,1
260,18,18,0.00635827911625892,-0.2074141604193048,1
261,18,18,0.054794900433070746,-0.14421691592162755,1
262,18,18,0.18103053204401354,-0.1533647895601289,1
263,18,18,0.07022311737767051,-0.16043366132833933,1
264,18,18,0.12226051262948237,-0.14563734411413687,1
265,18,18,0.005079485897513078,-0.2591598460573032,1
266,18,18,0.027018846281446265,-0.17732199199551596,1
267,18,18,0.7508400893975182,0.03150261714331662,1
268,18,18,0.062176350289008774,-0.16921963420921454,1
269,18,18,0.12300157789867734,-0.12877618959701273,1
270,18,18,0.06122164952963842,-0.17616191969867853,1
